learning_rate,batch_size,dropout_rate,train_losses,train_accuracies,test_accuracies,final_acc,tpr,fpr,recall
0.0001,128,0.4,"[0.5178785347841619, 0.4056393602030064, 0.33742549816767375, 0.29531334086162286, 0.27238644705555304, 0.2262737015398537, 0.20670046239364437, 0.19730436264014825, 0.16380017517301126, 0.15209803704808397, 0.13028289518220637, 0.1152443249656902, 0.10634545359185071, 0.09023612298495401, 0.08272655575982923, 0.07574481788447232, 0.06297560979922613, 0.05854342405388995, 0.048957397909910695, 0.04272350943306597, 0.03587526897104775, 0.034483930520047015, 0.028494770113166756, 0.030175451425517478, 0.02627325467765331]","[0.751219512195122, 0.8130081300813008, 0.8544715447154472, 0.8845528455284553, 0.8878048780487805, 0.9089430894308943, 0.9178861788617886, 0.9300813008130081, 0.9463414634146341, 0.9544715447154472, 0.9609756097560975, 0.9634146341463414, 0.9658536585365853, 0.975609756097561, 0.9796747967479674, 0.9821138211382113, 0.9861788617886179, 0.989430894308943, 0.9943089430894309, 0.9934959349593496, 0.9975609756097561, 0.9943089430894309, 0.9983739837398374, 0.9975609756097561, 0.9983739837398374]","[0.7402597402597403, 0.7402597402597403, 0.7662337662337663, 0.7857142857142857, 0.8538961038961039, 0.8961038961038961, 0.9025974025974026, 0.8766233766233766, 0.9253246753246753, 0.9188311688311688, 0.9123376623376623, 0.9285714285714286, 0.9285714285714286, 0.9448051948051948, 0.9383116883116883, 0.948051948051948, 0.948051948051948, 0.9448051948051948, 0.948051948051948, 0.948051948051948, 0.9415584415584416, 0.9448051948051948, 0.9415584415584416, 0.9512987012987013, 0.9545454545454546]",0.9545454545454546,[0.98245614],[0.125],[0.98245614]
0.0005,16,0.1,"[0.37482757139496686, 0.21735184047280287, 0.12267110739660457, 0.0809980111090633, 0.054947544700973405, 0.03603594127012705, 0.006847625244617068, 0.003260691986236829, 0.0018803104443089445, 0.000930502577173728, 0.0006850759846364655, 0.0007354478915392353, 0.0004686724544101493, 0.0004857383989629608, 0.00039480970393983663, 0.0003667504370981085, 0.0003020073641048994, 0.00025458782241675944, 0.00021387112549457857, 0.00023138064324876626, 0.00024716090352976756, 0.00047501106888464675, 0.00023994618842869948, 0.0001817999833440446, 0.00015984668408954]","[0.8390243902439024, 0.9097560975609756, 0.9528455284552846, 0.9650406504065041, 0.9788617886178862, 0.989430894308943, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8636363636363636, 0.8311688311688312, 0.9512987012987013, 0.9448051948051948, 0.9577922077922078, 0.9577922077922078, 0.9675324675324676, 0.9675324675324676, 0.9642857142857143, 0.9675324675324676, 0.9707792207792207, 0.9675324675324676, 0.9642857142857143, 0.9675324675324676, 0.9707792207792207, 0.961038961038961, 0.961038961038961, 0.9707792207792207, 0.9707792207792207, 0.9675324675324676, 0.9707792207792207, 0.961038961038961, 0.9675324675324676, 0.9642857142857143, 0.9675324675324676]",0.9675324675324676,[0.99122807],[0.1],[0.99122807]
0.0005,16,0.2,"[0.40931398064140384, 0.2659277797229891, 0.17324910317736913, 0.14209136586727167, 0.08460693131920283, 0.05965225640078628, 0.028294962338679206, 0.014448097642753425, 0.004121112815536013, 0.005391595122211317, 0.0029280471983668586, 0.0020393086614359807, 0.0019775383787285737, 0.0023382730684309394, 0.0011544660298339266, 0.013294933273407774, 0.11120909414276844, 0.021242045439182067, 0.006590638166990101, 0.005395966514493566, 0.0010407836113041798, 0.0008192246779799462, 0.00042567944622170785, 0.00047845831853091504, 0.0003026421566832644]","[0.7991869918699187, 0.8772357723577235, 0.9243902439024391, 0.9504065040650407, 0.9715447154471545, 0.9788617886178862, 0.9943089430894309, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9959349593495935, 0.959349593495935, 0.9926829268292683, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8116883116883117, 0.8961038961038961, 0.935064935064935, 0.8733766233766234, 0.961038961038961, 0.9577922077922078, 0.9285714285714286, 0.9642857142857143, 0.9545454545454546, 0.9577922077922078, 0.9512987012987013, 0.9642857142857143, 0.9577922077922078, 0.9577922077922078, 0.9675324675324676, 0.948051948051948, 0.9383116883116883, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9577922077922078, 0.9642857142857143, 0.9675324675324676, 0.9675324675324676]",0.9675324675324676,[0.98684211],[0.0875],[0.98684211]
0.0005,16,0.3,"[0.4668110805798352, 0.2810395301115222, 0.1892658836957885, 0.12547699560721715, 0.08473524244093314, 0.06812077561711392, 0.04938202133265937, 0.04031579384989128, 0.02872485167430184, 0.019073996122176872, 0.007207016286826352, 0.00753816650665509, 0.0044664488690673385, 0.0049190006640027996, 0.0017756001552268986, 0.0016367423125236045, 0.0014865775698865954, 0.0005984153574412098, 0.0007030589646935214, 0.0022862666141127267, 0.000777144706139589, 0.0005097156938314968, 0.0005819795925628746, 0.0008082710159067027, 0.0007459284393429165]","[0.7910569105691057, 0.8699186991869918, 0.9252032520325203, 0.9601626016260163, 0.9747967479674797, 0.9739837398373984, 0.9804878048780488, 0.9853658536585366, 0.9910569105691057, 0.9951219512195122, 0.9983739837398374, 0.9975609756097561, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8538961038961039, 0.8733766233766234, 0.8344155844155844, 0.9383116883116883, 0.948051948051948, 0.9448051948051948, 0.9512987012987013, 0.9512987012987013, 0.9415584415584416, 0.961038961038961, 0.9642857142857143, 0.9707792207792207, 0.9512987012987013, 0.9577922077922078, 0.9675324675324676, 0.961038961038961, 0.9642857142857143, 0.9707792207792207, 0.961038961038961, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9675324675324676, 0.961038961038961]",0.961038961038961,[0.98245614],[0.1],[0.98245614]
0.0005,16,0.4,"[0.39057640067445554, 0.214794359325878, 0.13943909415142322, 0.09919019812733178, 0.06762522412691174, 0.036174054889053835, 0.023503193317352213, 0.0214298439056923, 0.01176530149788028, 0.0055638655654828605, 0.00223565140050056, 0.00307460670128495, 0.0020621132770244684, 0.001031863608831025, 0.0005923668570945236, 0.0006159776212918246, 0.00027877973923573225, 0.0006491093894495625, 0.00033875791880309705, 0.00023889269924860324, 0.00018763130640031816, 0.0003983918237533019, 0.00021618993154762887, 0.00022373928962231849, 0.00017823258507026669]","[0.8040650406504065, 0.9130081300813008, 0.9439024390243902, 0.9691056910569106, 0.9764227642276423, 0.9878048780487805, 0.9926829268292683, 0.9934959349593496, 0.9959349593495935, 1.0, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8538961038961039, 0.8668831168831169, 0.9383116883116883, 0.9285714285714286, 0.9415584415584416, 0.9577922077922078, 0.948051948051948, 0.9448051948051948, 0.9512987012987013, 0.9545454545454546, 0.9642857142857143, 0.9512987012987013, 0.948051948051948, 0.9545454545454546, 0.9577922077922078, 0.9512987012987013, 0.9545454545454546, 0.9577922077922078, 0.9545454545454546, 0.9545454545454546, 0.9512987012987013, 0.9512987012987013, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546]",0.9545454545454546,[0.97807018],[0.1125],[0.97807018]
0.0005,32,0.1,"[0.4167974666851323, 0.23302346254751935, 0.13412754522348808, 0.0995467021334462, 0.04692805327353923, 0.020840524845733874, 0.01341803400981717, 0.01810771862983825, 0.0045867217250350045, 0.0035661725622669954, 0.006565871567472937, 0.051379224543300704, 0.034665036808729656, 0.017499568949385386, 0.0162412718945463, 0.005623882131393605, 0.001534718319814372, 0.0005578268632885235, 0.00045803906538001286, 0.0004034458287391524, 0.0003411051484082288, 0.0002679431274565452, 0.00023574419707680743, 0.0002783053160095644, 0.00022791614036673938]","[0.8113821138211382, 0.8951219512195122, 0.9536585365853658, 0.9634146341463414, 0.9886178861788618, 0.9975609756097561, 0.9975609756097561, 0.9959349593495935, 1.0, 1.0, 0.9983739837398374, 0.9821138211382113, 0.9869918699186991, 0.9943089430894309, 0.9943089430894309, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8311688311688312, 0.935064935064935, 0.948051948051948, 0.9415584415584416, 0.9512987012987013, 0.9545454545454546, 0.961038961038961, 0.9512987012987013, 0.9642857142857143, 0.961038961038961, 0.961038961038961, 0.9512987012987013, 0.935064935064935, 0.9577922077922078, 0.948051948051948, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.961038961038961]",0.961038961038961,[0.99122807],[0.125],[0.99122807]
0.0005,32,0.2,"[0.3833552433223259, 0.21820437238226092, 0.15430412249473052, 0.11032848195816443, 0.05334345583720663, 0.04439938950344799, 0.020310136133698913, 0.006941189278462311, 0.005995063488258095, 0.0029467008807279958, 0.0017178877663791058, 0.001698821937529052, 0.004004594480251606, 0.002141549387128978, 0.0010065828325090613, 0.0005999476726477345, 0.0004465010885775801, 0.00041310358599700955, 0.00047943148167725326, 0.0003115278132528642, 0.000303926498901735, 0.00035047486700814185, 0.0002520355271039213, 0.00024992424173174595, 0.000272474997062061]","[0.832520325203252, 0.9138211382113821, 0.9349593495934959, 0.9601626016260163, 0.9813008130081301, 0.9861788617886179, 0.9951219512195122, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7467532467532467, 0.9383116883116883, 0.814935064935065, 0.9512987012987013, 0.9415584415584416, 0.9577922077922078, 0.9707792207792207, 0.9675324675324676, 0.9675324675324676, 0.9707792207792207, 0.9707792207792207, 0.9707792207792207, 0.9545454545454546, 0.9577922077922078, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9675324675324676, 0.9675324675324676, 0.9675324675324676, 0.9675324675324676, 0.9675324675324676, 0.9707792207792207, 0.9675324675324676]",0.9675324675324676,[0.99122807],[0.1],[0.99122807]
0.0005,32,0.3,"[0.4459791955182223, 0.28277960371195787, 0.21198589869631015, 0.14295114237603132, 0.11910665980199488, 0.07203477104989493, 0.09580868077956564, 0.03432015923222875, 0.03645950756755059, 0.016533812160444694, 0.008090147380603523, 0.006562611074906175, 0.004637844223771396, 0.0071754883984728466, 0.008579561087431582, 0.029353477490868994, 0.015392907516561388, 0.0034960368049768275, 0.0019624134765112607, 0.001043220190449648, 0.0012874808099510799, 0.0008066111417523703, 0.0009470544644722307, 0.000795287615879878, 0.0005595065684557507]","[0.78130081300813, 0.8788617886178862, 0.908130081300813, 0.9471544715447154, 0.9536585365853658, 0.9780487804878049, 0.9650406504065041, 0.9910569105691057, 0.9910569105691057, 0.9983739837398374, 1.0, 0.9991869918699187, 0.9991869918699187, 0.9975609756097561, 0.9975609756097561, 0.989430894308943, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8409090909090909, 0.8928571428571429, 0.8928571428571429, 0.9285714285714286, 0.948051948051948, 0.8376623376623377, 0.9383116883116883, 0.9512987012987013, 0.9383116883116883, 0.9545454545454546, 0.9545454545454546, 0.948051948051948, 0.948051948051948, 0.9545454545454546, 0.935064935064935, 0.9448051948051948, 0.9545454545454546, 0.9512987012987013, 0.9577922077922078, 0.9545454545454546, 0.9512987012987013, 0.9512987012987013, 0.961038961038961, 0.9545454545454546, 0.9545454545454546]",0.9545454545454546,[0.98245614],[0.125],[0.98245614]
0.0005,32,0.4,"[0.42574699002552807, 0.24852658641047595, 0.18103039026623818, 0.10709164121407803, 0.09083588975595265, 0.10987050601137363, 0.07499275293534365, 0.036469733457618614, 0.012368150812581302, 0.013489803161502369, 0.004398988388531758, 0.002883777504112965, 0.005711318586566826, 0.003085226207267402, 0.0018875862997994432, 0.0015849728298627174, 0.0010867174825421914, 0.0009351047370402991, 0.0008422537331991807, 0.0012970261717294683, 0.0013615893162181223, 0.0009133120052274165, 0.0007259147418700765, 0.00046736684105381734, 0.000496634913866817]","[0.802439024390244, 0.8983739837398373, 0.932520325203252, 0.9577235772357724, 0.9658536585365853, 0.9552845528455285, 0.9715447154471545, 0.9869918699186991, 0.9983739837398374, 0.9959349593495935, 1.0, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8474025974025974, 0.8668831168831169, 0.9448051948051948, 0.9415584415584416, 0.9090909090909091, 0.8603896103896104, 0.8896103896103896, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9545454545454546, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961]",0.961038961038961,[0.99122807],[0.125],[0.99122807]
0.0005,64,0.1,"[0.4977942271445825, 0.311936123487426, 0.23552905323544168, 0.16938418085134127, 0.12381349218842702, 0.08179153310574167, 0.0626467584412757, 0.03882219825030827, 0.0208207382086089, 0.011240480961353798, 0.02633256205940634, 0.028871400292765925, 0.012351217060312022, 0.005550347742192993, 0.003791339577334683, 0.002613160785333049, 0.0022211579433680188, 0.0013787936521466912, 0.0012577817268003293, 0.00161064158892259, 0.001112524520537657, 0.0009417384186649801, 0.0007487676085571085, 0.0006505673811808834, 0.0006369174420227849]","[0.7544715447154472, 0.8658536585365854, 0.9040650406504065, 0.9414634146341463, 0.9585365853658536, 0.9813008130081301, 0.9813008130081301, 0.9934959349593496, 0.9983739837398374, 0.9983739837398374, 0.9934959349593496, 0.9926829268292683, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7467532467532467, 0.8506493506493507, 0.7954545454545454, 0.9545454545454546, 0.9448051948051948, 0.9577922077922078, 0.9383116883116883, 0.8993506493506493, 0.9448051948051948, 0.9675324675324676, 0.9577922077922078, 0.9642857142857143, 0.9642857142857143, 0.9707792207792207, 0.9642857142857143, 0.9707792207792207, 0.9675324675324676, 0.9707792207792207, 0.9772727272727273, 0.9675324675324676, 0.9707792207792207, 0.974025974025974, 0.9707792207792207, 0.974025974025974, 0.974025974025974]",0.974025974025974,[0.99122807],[0.075],[0.99122807]
0.0005,64,0.2,"[0.46799633973013094, 0.31538684392363076, 0.24888978382436241, 0.15967184482066613, 0.11658463199448779, 0.084426016608874, 0.05876949435569406, 0.03927551219618417, 0.02887221867960643, 0.022761984751938382, 0.01112965230936018, 0.0068229931762548, 0.0060063906922573, 0.019159103009274335, 0.020410589994938392, 0.006549802644753723, 0.002876456976088324, 0.0026757287679285537, 0.001507262390284852, 0.0010574250889476388, 0.0009133693016308352, 0.0008664513831888136, 0.0006996532436460256, 0.0005400689067016167, 0.0006951773807981876]","[0.7796747967479675, 0.8601626016260162, 0.8951219512195122, 0.9414634146341463, 0.9642276422764228, 0.9747967479674797, 0.983739837398374, 0.9943089430894309, 0.9951219512195122, 0.9951219512195122, 0.9983739837398374, 0.9991869918699187, 1.0, 0.9943089430894309, 0.9943089430894309, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8116883116883117, 0.8116883116883117, 0.9090909090909091, 0.9383116883116883, 0.922077922077922, 0.9545454545454546, 0.9675324675324676, 0.922077922077922, 0.9512987012987013, 0.9642857142857143, 0.9675324675324676, 0.9577922077922078, 0.9642857142857143, 0.9577922077922078, 0.9512987012987013, 0.9577922077922078, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143, 0.9675324675324676, 0.9642857142857143, 0.9642857142857143, 0.961038961038961, 0.9675324675324676, 0.9707792207792207]",0.9707792207792207,[0.99561404],[0.1],[0.99561404]
0.0005,64,0.3,"[0.49572814698141765, 0.33403689933986197, 0.24657052076928984, 0.18474178912678385, 0.1363465679249143, 0.12138768466022926, 0.09971598043310934, 0.05720742651359822, 0.0354535489002379, 0.02302346889807926, 0.029655809314330903, 0.0220546618634002, 0.008112039589663831, 0.007020714551558703, 0.004281281637845607, 0.0035311299923247073, 0.002021578212204291, 0.0026440361906524476, 0.0021397551604947908, 0.0018745362875998263, 0.0018193678847112792, 0.0018012493173023914, 0.001201877042999476, 0.002876954570760935, 0.00269458433310312]","[0.7764227642276422, 0.8560975609756097, 0.9, 0.9260162601626016, 0.9552845528455285, 0.9528455284552846, 0.967479674796748, 0.9804878048780488, 0.9910569105691057, 0.9943089430894309, 0.9910569105691057, 0.9934959349593496, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9991869918699187, 1.0]","[0.7467532467532467, 0.8214285714285714, 0.9025974025974026, 0.935064935064935, 0.8538961038961039, 0.9512987012987013, 0.9512987012987013, 0.9383116883116883, 0.9253246753246753, 0.935064935064935, 0.9512987012987013, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9675324675324676, 0.9642857142857143, 0.9675324675324676, 0.9642857142857143, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.9642857142857143, 0.974025974025974, 0.935064935064935, 0.9642857142857143]",0.9642857142857143,[0.99561404],[0.125],[0.99561404]
0.0005,64,0.4,"[0.521384973933057, 0.3592261843565034, 0.2754557286578465, 0.21906290640675924, 0.17538124424655263, 0.13403719807179962, 0.09024678542604292, 0.07168662434186393, 0.05654873023551654, 0.041721887438277885, 0.03650318551657161, 0.021620344771905158, 0.01642879521761968, 0.010745374973469633, 0.009051206868853632, 0.008416246798464923, 0.023414826592263894, 0.020027540241012245, 0.010031864834510214, 0.010290468409203175, 0.01231361039520461, 0.005424289495449483, 0.0049239479525893075, 0.004514355331610101, 0.002944062402418898]","[0.732520325203252, 0.8422764227642277, 0.883739837398374, 0.9195121951219513, 0.9300813008130081, 0.9544715447154472, 0.9691056910569106, 0.9772357723577236, 0.9878048780487805, 0.9869918699186991, 0.991869918699187, 0.9959349593495935, 0.9991869918699187, 0.9991869918699187, 1.0, 0.9983739837398374, 0.9959349593495935, 0.9951219512195122, 1.0, 0.9967479674796748, 0.9975609756097561, 1.0, 0.9991869918699187, 1.0, 1.0]","[0.7435064935064936, 0.8051948051948052, 0.8961038961038961, 0.8831168831168831, 0.9415584415584416, 0.935064935064935, 0.9155844155844156, 0.9188311688311688, 0.9545454545454546, 0.948051948051948, 0.9512987012987013, 0.961038961038961, 0.9577922077922078, 0.9512987012987013, 0.961038961038961, 0.9025974025974026, 0.9318181818181818, 0.9545454545454546, 0.9512987012987013, 0.9448051948051948, 0.9545454545454546, 0.9512987012987013, 0.9512987012987013, 0.948051948051948, 0.9512987012987013]",0.9512987012987013,[0.97368421],[0.1125],[0.97368421]
0.0005,128,0.1,"[0.5087415937485734, 0.3493815640123879, 0.2853503407743888, 0.21404560031445047, 0.16251066977657924, 0.11975259642775465, 0.07856418569155825, 0.06964382294838022, 0.040188312715267745, 0.025097095160707225, 0.017907972209821873, 0.012880203679840012, 0.007641696829984828, 0.005039683119886048, 0.0038241663031522337, 0.004022231119934742, 0.002836981503580644, 0.0023896544974872738, 0.0018973603960111495, 0.001698662595051091, 0.0014484893865656199, 0.0014965121698664215, 0.001092330104769851, 0.0011228251473493571, 0.0009245376818154643]","[0.7731707317073171, 0.8471544715447155, 0.8861788617886179, 0.9121951219512195, 0.9439024390243902, 0.9560975609756097, 0.973170731707317, 0.983739837398374, 0.9902439024390244, 0.9967479674796748, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.7467532467532467, 0.7435064935064936, 0.8506493506493507, 0.9123376623376623, 0.935064935064935, 0.9448051948051948, 0.948051948051948, 0.9545454545454546, 0.9448051948051948, 0.9577922077922078, 0.9512987012987013, 0.9545454545454546, 0.9545454545454546, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.9642857142857143, 0.9642857142857143, 0.961038961038961, 0.9642857142857143, 0.961038961038961]",0.961038961038961,[0.99122807],[0.125],[0.99122807]
0.0005,128,0.2,"[0.5641394793987274, 0.397725915521141, 0.31786805464000234, 0.24895358395770315, 0.2010328759507435, 0.15935700392820001, 0.12096310992066453, 0.09867164674328595, 0.06497849800237795, 0.049454758485885174, 0.03337998814214536, 0.02202235952140839, 0.017992243952140576, 0.012007450651589448, 0.0076614071213738704, 0.0077022034031285986, 0.005913143371027417, 0.004645040350761719, 0.005377155625662668, 0.0030622569683227477, 0.003027173373621048, 0.0025686735910083343, 0.0022350528796120147, 0.0018449918599799276, 0.001724263409349492]","[0.7430894308943089, 0.8016260162601626, 0.8536585365853658, 0.8959349593495934, 0.9130081300813008, 0.9357723577235773, 0.9560975609756097, 0.9658536585365853, 0.9804878048780488, 0.9902439024390244, 0.9967479674796748, 0.9983739837398374, 0.9975609756097561, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.7435064935064936, 0.7727272727272727, 0.8506493506493507, 0.9058441558441559, 0.9318181818181818, 0.9188311688311688, 0.8993506493506493, 0.9318181818181818, 0.948051948051948, 0.935064935064935, 0.948051948051948, 0.9415584415584416, 0.9448051948051948, 0.9448051948051948, 0.9512987012987013, 0.9545454545454546, 0.948051948051948, 0.9448051948051948, 0.948051948051948, 0.948051948051948, 0.9512987012987013, 0.9448051948051948, 0.948051948051948, 0.9448051948051948]",0.9448051948051948,[0.97807018],[0.15],[0.97807018]
0.0005,128,0.3,"[0.5665900438781676, 0.3965773299457581, 0.3343366230891003, 0.2816598119289894, 0.22736536717511774, 0.18848245563061256, 0.14646476240662054, 0.10983515708911709, 0.1037838323814113, 0.07995564855816888, 0.061450824644265135, 0.034631083100064984, 0.023290114325842236, 0.02074148890569927, 0.015446623917517624, 0.010215095653221375, 0.008453016276887762, 0.005600637318642159, 0.004863933298161359, 0.0054860007547871854, 0.004166981437039085, 0.0032711756196085033, 0.0029337387009546524, 0.0030370155440234557, 0.002067147575439961]","[0.7138211382113822, 0.8211382113821138, 0.8504065040650407, 0.8902439024390244, 0.9073170731707317, 0.9284552845528455, 0.9447154471544715, 0.9699186991869919, 0.9666666666666667, 0.9764227642276423, 0.9813008130081301, 0.9951219512195122, 0.9983739837398374, 0.9967479674796748, 0.9975609756097561, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.75, 0.7532467532467533, 0.8116883116883117, 0.8928571428571429, 0.9123376623376623, 0.9285714285714286, 0.9058441558441559, 0.8993506493506493, 0.9383116883116883, 0.922077922077922, 0.9383116883116883, 0.9383116883116883, 0.9448051948051948, 0.9545454545454546, 0.948051948051948, 0.9512987012987013, 0.9415584415584416, 0.948051948051948, 0.9448051948051948, 0.9545454545454546, 0.9512987012987013, 0.948051948051948, 0.9512987012987013, 0.948051948051948]",0.948051948051948,[0.98684211],[0.1625],[0.98684211]
